long,lat,boron,nitrogen,phos,potas,pH,zinc,clay,OM,Sand,Silt,Rainfall,Temp,Elevation,Slope,nearest_rainfall,Water,Road,LULC_Code
83.87673,28.59197,0.6382597,0.278226,159.6311798,430.0749512,6.4590716,3.4649487,14.2761145,4.4256544,51.5118332,36.3179779,2044.680054,-15.1671,5978,43.9061279,273.249115,1700.258545,6703.170898,2
83.88393,28.59197,0.6403593,0.2795463,159.0601654,432.4867249,6.4539428,3.4173105,14.2654295,4.4277172,51.5284996,36.2557068,2028.060059,-9.0179996,6352,52.3401146,96.1352692,2281.136231,6769.239258,2
83.89112,28.59197,0.6424399,0.2809348,158.4768066,434.942627,6.4489541,3.3716745,14.2555857,4.4297724,51.5438843,36.193306,2008.199951,-5.8982501,5914,42.9784851,109.7406082,2368.186035,6794.916992,2
83.89831,28.59197,0.6445018,0.2823882,157.8805847,437.4393311,6.4441032,3.3279371,14.2464237,4.4318318,51.5575714,36.130909,1985.420044,-7.1088099,5690,23.5874996,166.0973053,1750.523193,6904.759277,2
83.90551,28.59197,0.6465539,0.2839013,157.2711029,439.9699707,6.439384,3.2859998,14.2379942,4.4339023,51.5692139,36.0685692,1960.02002,-7.7612901,5666,11.450983,129.95755,1202.264282,6997.14209,2
83.9127,28.59197,0.6486057,0.2854685,156.6473999,442.5274658,6.4347897,3.2457654,14.2302876,4.4359841,51.5784035,36.0063896,1931.069946,-10.9738998,5941,33.1542282,222.9174347,866.9651489,7130.792481,3
83.91989,28.59197,0.6506621,0.2870859,156.0070038,445.0996094,6.4303288,3.2072911,14.2230835,4.4380813,51.5844955,35.9447021,1898.969971,-7.1478,5676,34.836895,228.9115753,1088.696655,7320,2
83.92708,28.59197,0.6527225,0.2887645,155.342865,447.6341858,6.4260783,3.1719363,14.2163219,4.4401989,51.5866699,35.8840942,1863.280029,-11.4272003,5786,48.163063,264.6106873,1327.944336,7465.601074,2
83.93428,28.59197,0.654763,0.2905057,154.6477661,450.0941772,6.4220419,3.1398175,14.2094975,4.4423289,51.5854836,35.8243599,1826.119995,-5.8886399,5990,40.0688515,169.362793,850.1292725,7693.874023,3
83.94147,28.59197,0.6566806,0.2923211,153.9074554,452.4269714,6.4182091,3.1102593,14.2016859,4.4445834,51.5847359,35.7637062,1784.810059,-8.7459898,6145,26.0313473,220.1207275,480.9057312,7941.448242,2
83.94866,28.59197,0.6584461,0.2942089,153.1047211,454.6223145,6.4146442,3.0830452,14.1923418,4.4471369,51.58535,35.7033157,1741.819946,-4.2968001,5934,44.5968323,132.5853424,0,8280.054688,3
83.95586,28.59197,0.6600624,0.2961561,152.2308044,456.6574097,6.4113412,3.0580752,14.1807585,4.4499545,51.5868454,35.6439209,1697.229981,-7.8431902,5763,20.31884,141.4416046,510.0775452,8649.629883,2
83.96305,28.59197,0.6615564,0.2980994,151.308609,458.5400696,6.4082642,3.0355456,14.1671476,4.4526711,51.5890923,35.586792,1652.5,-8.9482803,5909,21.7078686,198.4349518,1190.180908,9049.911133,2
83.97024,28.59197,0.6629554,0.2999834,150.3498688,460.2608032,6.4053783,3.015553,14.1512079,4.4549818,51.5916519,35.5333176,1607.300049,-9.2975502,6044,21.912159,203.3555603,2040.310181,9492.380859,2
83.97744,28.59197,0.6642835,0.3017703,149.3467255,461.7780151,6.4026599,2.99805,14.1317549,4.4567056,51.5939674,35.4848862,1562.800049,-20.7084999,6642,54.7448616,268.4702148,2720.413574,9960.949219,3
83.812,28.58478,0.6047791,0.2697339,164.6220551,411.9367065,6.4888344,4.0412965,14.3611917,4.4025683,51.3642883,36.9744873,2146.959961,-3.3133299,6701,67.3513489,120.5164108,4868.799316,8231.160156,2
83.81919,28.58478,0.6071778,0.2702632,164.1608887,413.653656,6.4834156,3.975352,14.3317165,4.4048867,51.3605385,36.9250679,2147.409912,-8.0729504,6538,44.7701187,157.8835297,4206.207031,7753.302734,3
83.82638,28.58478,0.6095981,0.2708658,163.6834869,415.4454956,6.4779749,3.9108288,14.305295,4.4071431,51.3630028,36.8718681,2147.27002,-5.6101699,6349,46.3888016,164.463623,3550.243897,7333.08252,2
83.83357,28.58478,0.612022,0.2715427,163.1898651,417.3062134,6.4725142,3.8477931,14.2815857,4.4093356,51.370224,36.8155746,2145.26001,-5.3899498,6021,34.6126785,160.4633484,2905.403076,6914.658203,2
83.84077,28.58478,0.6144363,0.2722948,162.6821747,419.2359924,6.4670448,3.7862267,14.2603531,4.4115162,51.3812714,36.7565994,2141.820068,-2.56252,5829,27.855669,159.5504456,2281.136231,6589.42334,2
83.84796,28.58478,0.616834,0.2731251,162.1629333,421.2375488,6.4615812,3.7260699,14.2414789,4.4137335,51.3954391,36.6953812,2137.340088,-5.5909801,5650,24.8466702,136.4687958,1700.258545,6284.05127,2
83.85515,28.58478,0.6192282,0.2740516,161.6343842,423.3201599,6.4561548,3.6672525,14.2252522,4.4159627,51.412056,36.6332588,2130.560059,-5.6229601,5320,36.7262535,103.3327866,1226.073853,6086.452148,2
83.86235,28.58478,0.6216173,0.2750759,161.0980835,425.4850464,6.4507775,3.6096976,14.211586,4.4182291,51.4305191,36.5706367,2121.899902,-4.9478898,5162,23.2996082,236.9293213,1020.15509,5957.852051,2
83.86954,28.58478,0.623995,0.2761844,160.5503693,427.7127686,6.4455075,3.5542991,14.1995001,4.4204526,51.4494171,36.5077477,2111.689941,-8.9847698,5440,40.731575,267.4861755,1226.073853,5886.195801,2
83.87673,28.58478,0.6263579,0.2773688,159.9894714,429.9913635,6.4403749,3.5014567,14.188405,4.4226031,51.4678459,36.4447517,2098.76001,-12.2791004,5731,43.0507545,238.5948334,1700.258545,5927.107422,2
83.88393,28.58478,0.6287048,0.2786259,159.4158325,432.3178101,6.4353786,3.4510295,14.1781445,4.4247074,51.4854012,36.3817444,2083.48999,-6.4095101,6097,38.4097786,171.7841187,2281.136231,5961.853516,2
83.89112,28.58478,0.6310359,0.279952,158.8294525,434.6886292,6.4305172,3.4028845,14.1685524,4.426784,51.5016785,36.3188515,2066.219971,-3.5754001,5690,22.6273994,73.024498,2368.186035,6019.169434,3
83.89831,28.58478,0.6333527,0.2813431,158.2298889,437.0997314,6.4257884,3.3568964,14.1594448,4.4288449,51.5162468,36.256218,2045.880005,-6.4675798,5437,3.2224016,243.4349518,1750.523193,6113.010742,2
83.90551,28.58478,0.6356595,0.2827943,157.6163635,439.5456543,6.4211898,3.312947,14.1506538,4.4308958,51.5286636,36.1940041,2022.550049,-6.4256201,5322,18.1743774,175.6012878,1202.264282,6225.343262,2
83.9127,28.58478,0.6379725,0.2842984,156.9880676,442.0137329,6.4167228,3.270921,14.1422396,4.4329562,51.5384712,36.132328,1997.640015,-5.3739901,5264,19.5316467,242.5255737,850.1292725,6345.549805,2
83.91989,28.58478,0.6402944,0.2858624,156.3398895,444.4630432,6.4124389,3.2318211,14.1341991,4.43502,51.5450897,36.0715714,1969.23999,-4.48596,5339,35.7926445,169.6056824,1088.696655,6524.913574,2
83.92708,28.58478,0.6426269,0.2874885,155.6664734,446.8577881,6.4083729,3.1964631,14.1263123,4.4370437,51.5479393,36.012188,1937.810059,-10.2292995,5432,49.2528191,266.2686157,1327.944336,6717.387695,2
83.93428,28.58478,0.6449221,0.2891776,154.9603882,449.1647949,6.4045081,3.1644955,14.1179171,4.4390445,51.5485268,35.9533463,1904.349976,-9.3775797,5572,30.4405708,204.9180298,850.1292725,6931.233887,2
83.94147,28.58478,0.6470945,0.2909398,154.2057953,451.338562,6.4008689,3.1353064,14.1081991,4.4411931,51.5501671,35.8939743,1869.310059,-3.0023201,5491,21.6113091,143.6156464,480.9057312,7245.170898,2
83.94866,28.58478,0.6491277,0.2927719,153.3858948,453.3695068,6.3975263,3.1087406,14.0966167,4.443655,51.5536118,35.8353844,1832.01001,-6.0490799,5573,23.1865559,138.9724884,0,7573.44043,2
83.95586,28.58478,0.651032,0.294654,152.4972687,455.2360535,6.3944721,3.0847685,14.0825701,4.4463348,51.558506,35.778244,1793.51001,-6.9788799,5444,15.372076,148.7362671,510.0775452,7989.975098,2
83.96305,28.58478,0.6528397,0.2965131,151.5704803,456.9526978,6.391674,3.0636432,14.0665159,4.4488068,51.5650749,35.7237892,1753.959961,-10.7294998,5650,37.6158066,212.9977112,1360.206787,8428.71875,2
83.97024,28.58478,0.6545765,0.2983087,150.6087646,458.4963989,6.3891182,3.0454082,14.0478535,4.4508553,51.5731812,35.6730728,1716.589966,-9.8627396,5925,18.1299171,268.531189,2040.310181,8897.46582,2
83.97744,28.58478,0.6562718,0.300005,149.6074219,459.8249512,6.3868113,3.0300915,14.0255318,4.452301,51.5830879,35.6271439,1678.709961,-15.5937004,6429,54.9392586,230.4968872,2720.413574,9397.665039,3
83.98463,28.58478,0.6579657,0.3015591,148.5656891,460.8866882,6.384799,3.0178034,13.998435,4.4529314,51.5965424,35.5868187,1643.609985,-21.3904991,7093,47.3618126,235.388855,3400.51709,9923.109375,2
83.99182,28.58478,0.6597089,0.3029244,147.497757,461.6302185,6.3832026,3.0089231,13.9655819,4.4525251,51.6194954,35.5516663,1611.880005,-14.0837002,7289,57.7950287,145.5538788,4080.620361,10467.4209,2
83.99902,28.58478,0.6615371,0.3040662,146.4616547,462.0372925,6.3822136,3.0050216,13.9264708,4.4507108,51.670002,35.5169945,1585.869995,-14.8423004,7368,28.9330215,149.9314117,4760.723633,11034.00684,2
84.00621,28.58478,0.6634948,0.3052028,145.6495819,462.2288818,6.3831115,3.0077178,13.8904266,4.448173,51.797348,35.4584236,1564.050049,-12.3585997,7059,35.9502335,138.2838593,4907.241699,11610.15527,2
84.0134,28.58478,0.6649738,0.3066495,144.8713837,462.2912292,6.3857331,3.0204122,13.8554106,4.4457154,51.9824905,35.3816452,1548.400024,-6.6969399,6750,54.3781738,137.1932373,5100.775391,12197.86914,3
83.8048,28.57758,0.5880342,0.2692702,165.3843842,411.0734863,6.4740186,4.1983323,14.2963457,4.3948617,51.3255882,37.1696167,2187.969971,-10.8311996,7041,53.6505623,94.0730133,5368.618164,8208.001953,2
83.812,28.57758,0.5906768,0.2695845,164.9629059,412.6304016,6.4687967,4.1219306,14.2639484,4.3977246,51.3131599,37.1218224,2190.889893,-3.5285201,6229,39.7171478,119.6730804,4868.799316,7686.149902,3
83.81919,28.57758,0.5933567,0.2699842,164.5175934,414.258606,6.4635386,4.0479422,14.2351809,4.4004068,51.3091316,37.0695229,2192.26001,-4.87499,5830,21.4697704,129.8055725,4206.207031,7171.192383,2
83.82638,28.57758,0.59605,0.2704696,164.0505981,415.9563293,6.4582515,3.9763162,14.2095461,4.4029469,51.3117561,37.0135422,2193.02002,-6.99512,5848,48.3581657,180.4275665,3550.243897,6691.883301,3
83.83357,28.57758,0.5987395,0.2710395,163.5631866,417.719696,6.4529366,3.9069571,14.186657,4.4053612,51.3194847,36.9545822,2191.939941,-4.8971801,5556,22.633585,130.1009064,2905.403076,6258.00293,2
83.84077,28.57758,0.6014134,0.2716934,163.0592346,419.5522461,6.447607,3.8397083,14.1662569,4.407733,51.3314247,36.893013,2189.469971,-5.2274899,5372,29.1565914,134.3904877,2281.136231,5870.579102,2
83.84796,28.57758,0.6040672,0.2724341,162.5420532,421.4583435,6.4422784,3.7744067,14.1482344,4.4101167,51.3467941,36.8293686,2186.090088,-4.86865,5232,28.2537651,165.5297089,1700.258545,5569.425293,2
83.85515,28.57758,0.606716,0.2732794,162.014389,423.4486389,6.4369812,3.7109008,14.1328897,4.412488,51.3648453,36.7650833,2180.409912,-2.7264199,5177,42.59095,91.3078918,1226.073853,5303.21582,3
83.86235,28.57758,0.609358,0.2742291,161.4783173,425.5282593,6.4317303,3.6490729,14.1201496,4.4148726,51.3847275,36.7006645,2173.01001,-4.7736201,5040,0.6800272,315,1020.15509,5160.087402,2
83.86954,28.57758,0.6119879,0.2752669,160.9297333,427.6741028,6.4265909,3.5899117,14.1088762,4.4171762,51.4048996,36.6363373,2163.600098,-5.61338,5258,30.0584221,211.9613495,1226.073853,5105.644043,2
83.87673,28.57758,0.6146038,0.2763837,160.3674316,429.8721619,6.421586,3.5336785,14.0984726,4.4193883,51.4246368,36.5721397,2152.949951,-8.53759,5490,23.8320961,218.8298187,1700.258545,5119.814453,2
83.88393,28.57758,0.6172057,0.2775756,159.7920532,432.118988,6.4167147,3.4801929,14.0887604,4.4215355,51.4435387,36.5081749,2139.530029,-6.4191799,5724,24.2843456,108.4349518,2281.136231,5188.178711,2
83.89112,28.57758,0.6197952,0.2788381,159.2037201,434.4103699,6.4119759,3.4292891,14.0795507,4.4236398,51.4611778,36.4445686,2123.669922,-6.3740201,5472,25.5695095,105.2551193,2368.186035,5212.149414,2
83.89831,28.57758,0.6223753,0.2801664,158.6020203,436.7399902,6.407373,3.3808084,14.0706043,4.4257245,51.4770508,36.3815193,2106.479981,-2.60888,5217,13.2934914,33.4078255,1750.523193,5353.970703,10
83.90551,28.57758,0.6249506,0.2815551,157.9860687,439.1012573,6.4029064,3.334609,14.0616646,4.4278002,51.4906502,36.3192444,2085.939941,-3.82251,5057,21.4453125,161.952179,1202.264282,5422.121582,2
83.9127,28.57758,0.6275289,0.2830051,157.3527985,441.4638062,6.3986039,3.2912488,14.0527668,4.4298573,51.5015984,36.2579422,2063.310059,-2.9061,4941,28.4636574,183.1060333,850.1292725,5595.301758,2
